,Year-Month,"Exchange 
 Rate",Inflation rate,Interest rate,GDP growth,"unemployment 
rate","industrial 
production","consumer 
price index","Trade 
balance",Remittances,"Colombo share 
market movements",,,,,,
1,2010 Jan,113.46,7.10%,7.50%,7.10%,5.10%,5.83%,82.40%,-581.18,313.10,3576.9,,,,,,
2,2010 Feb,108.65,7.60%,7.50%,7.10%,5.10%,11.32%,82.80%,290.41,310.10,3807.7,,,,,,
3,2010 Mar,122.11,7.10%,7.50%,7.10%,5.10%,10.82%,82.10%,-220.52,373.20,3846.2,,,,,,
4,2010 Apr,104.81,6.80%,7.50%,7.10%,5.40%,99.20%,81.20%,-506.46,339.70,4115.4,,,,,,
5,2010 May,114.41,5.70%,7.50%,8.50%,5.40%,14.43%,82.20%,-491.91,303.00,4192.3,,,,,,
6,2010 Jun,114.4329,5.10%,7.50%,8.50%,5.40%,39.24%,82.90%,-489.12,343.90,4230.8,,,,,,
7,2010 Jul,111.9651,4.40%,7.50%,8.50%,4.70%,32.10%,82.90%,-244.26,343.00,4615.4,,,,,,
8,2010 Aug,113.5356,5.00%,7.25%,8.50%,4.70%,15.57%,83.00%,-300.42,332.50,5115.4,,,,,,
9,2010 Sep,112.8335,5.70%,7.25%,8.50%,4.70%,24.30%,83.70%,-376.72,345.70,5576.9,,,,,,
10,2010 Oct,112.7334,6.50%,7.25%,8.00%,4.50%,13.98%,84.60%,-305.70,376.00,7000,,,,,,
11,2010 Nov,112.3748,6.90%,7.25%,8.00%,4.50%,10.62%,85.50%,-320.56,365.90,6576.9,,,,,,
12,2010 Dec,112.2547,6.80%,7.25%,9.00%,4.50%,3.51%,86.40%,-697.86,369.70,6576.9,,,,,,
13,2011 Jan,112.0039,6.30%,7.00%,9.82%,4.40%,12.36%,87.60%,-644.92,377.00,7115.4,,,,,,
14,2011 Feb,91.6728,7.20%,7.00%,9.82%,4.40%,4.62%,88.80%,-418.91,393.30,7769.2,,,,,,
15,2011 Mar,111.3316,7.70%,7.00%,9.82%,4.40%,12.86%,88.40%,-703.35,503.40,7230.8,,,,,,
16,2011 Apr,110.7801,8.80%,7.00%,9.82%,4.10%,11.44%,88.40%,-741.69,414.80,7307.7,,,,,,
17,2011 May,110.6498,8.10%,7.00%,7.21%,4.10%,13.03%,88.90%,-847.10,414.50,7423.1,,,,,,
18,2011 Jun,110.4695,7.10%,7.00%,7.21%,4.10%,4.11%,88.80%,-848.24,403.50,6807.7,,,,,,
19,2011 Jul,110.3089,7.40%,7.00%,7.21%,3.90%,-1.84%,89.10%,-807.69,415.40,6846.1,,,,,,
20,2011 Aug,110.2689,7.00%,7.00%,9.19%,3.90%,8.20%,88.80%,-882.90,458.50,6884.6,,,,,,
21,2011 Sep,107.69,6.40%,7.00%,9.19%,3.90%,6.26%,89.10%,-904.26,401.60,6769.2,,,,,,
22,2011 Oct,111.54,5.10%,7.00%,9.19%,3.90%,3.75%,88.90%,-867.85,420.50,6307.7,,,,,,
23,2011 Nov,114.8782,4.70%,7.00%,7.59%,3.90%,4.93%,89.60%,-1100.65,436.00,6076.9,,,,,,
24,2011 Dec,114.8762,4.90%,7.00%,7.59%,3.90%,8.75%,90.60%,-942.43,506.20,6038.5,,,,,,
25,2012 Jan,114.8762,3.80%,7.00%,16.12%,3.90%,12.93%,90.90%,-1026.83,472.80,5692.3,,,,,,
26,2012 Feb,115.5,2.70%,7.50%,16.12%,3.90%,12.07%,91.20%,-759.66,470.40,5423.1,,,,,,
27,2012 Mar,121.15,5.40%,7.50%,16.12%,3.90%,1.08%,93.20%,-992.62,564.70,5423.1,,,,,,
28,2012 Apr,110.58,6.10%,7.50%,16.12%,3.90%,5.50%,93.80%,-692.59,475.20,5384.6,,,,,,
29,2012 May,117.31,7.00%,7.75%,9.74%,3.90%,5.51%,95.20%,-769.07,507.10,4807.7,,,,,,
30,2012 Jun,132.1388,9.30%,7.75%,9.74%,3.90%,-0.51%,97.00%,-663.21,452.30,4923.1,,,,,,
31,2012 Jul,123.08,9.80%,7.75%,9.74%,4.00%,-0.41%,97.90%,530.55,475.00,4884.6,,,,,,
32,2012 Aug,122.11,9.50%,7.75%,5.18%,4.00%,-5.13%,97.30%,921.10,490.10,5192.3,,,,,,
